,,,LLEGADA_RELOJ,,,FIN_CONTROL_RELOJ,,,,,,,RESULTADO_DE_CONTROL,,EMPLEADO_1,,EMPLEADO_2,,EMPLEADO_3,,,,,,,Reloj_0,,Reloj_1,,Reloj_2,,Reloj_3,,Reloj_4,,Reloj_5,,Reloj_6,,Reloj_7,,Reloj_8,,Reloj_9,,Reloj_10,,Reloj_11,,Reloj_12,,Reloj_13,,Reloj_14,,Reloj_15,,Reloj_16,,Reloj_17,,Reloj_18,,Reloj_19,,Reloj_20,,Reloj_21,,Reloj_22,,Reloj_23,,Reloj_24,,Reloj_25,,Reloj_26,,Reloj_27,,Reloj_28,,Reloj_29,,Reloj_30,,Reloj_31,,Reloj_32,,Reloj_33,,Reloj_34,,Reloj_35,,Reloj_36,,Reloj_37,,Reloj_38,,Reloj_39,,Reloj_40,,Reloj_41,,Reloj_42,,Reloj_43,,Reloj_44,,Reloj_45,,Reloj_46,,Reloj_47,,Reloj_48,,Reloj_49,,Reloj_50,,Reloj_51,,Reloj_52,,Reloj_53,,Reloj_54,,Reloj_55,,Reloj_56,,Reloj_57,,Reloj_58,,Reloj_59,,Reloj_60,,Reloj_61,,Reloj_62,,Reloj_63,,Reloj_64,,Reloj_65,,Reloj_66,,Reloj_67,,Reloj_68,,Reloj_69,,Reloj_70,
NRO,EVENTO,RELOJ,RND,TIEMPO,LLEGADA_RELOJ,RND1,RND2,TIEMPO1,TIEMPO2,FIN_CONTROL_EMP1,FIN_CONTROL_EMP2,FIN_CONTROL_EMP3,RND,RESULTADO,ESTADO,ACUM_OCUPACION,ESTADO,ACUM_OCUPACION,ESTADO,ACUM_OCUPACION,COLA_RELOJES,ACUM_TIEMPO_ESPERA_RELOJ,CONT_RELOJES,CONT_RELOJES_TERMINADOS,ACUM_TIEMPO_RELOJ_SISTEMA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA,ESTADO, TIEMPO_LLEGADA
1,init,0,0.13,0.08,0.08,,,,,,,,,,Libre,0,Libre,0,Libre,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LlegadaReloj,0.08,0.59,0.53,0.61,0.71,0.31,4.45,5.67,4.53,,,,,Ocupado,0,Libre,0,Libre,0,0,0,1,0,0,Siendo_Controlado_Emp1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LlegadaReloj,0.61,0.06,0.03,0.64,0.71,0.31,4.45,5.67,4.53,6.28,,,,Ocupado,0.53,Ocupado,0,Libre,0,0,0,2,0,0,Siendo_Controlado_Emp1,0.08,Siendo_Controlado_Emp2,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LlegadaReloj,0.64,0.38,0.28,0.92,0.74,0.28,4.61,5.76,4.53,6.28,5.25,,,Ocupado,0.55,Ocupado,0.02,Ocupado,0,0,0,3,0,0,Siendo_Controlado_Emp1,0.08,Siendo_Controlado_Emp2,0.61,Siendo_Controlado_Emp3,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LlegadaReloj,0.92,0.84,1.09,2.01,0.74,0.28,4.61,5.76,4.53,6.28,5.25,,,Ocupado,0.83,Ocupado,0.3,Ocupado,0.28,1,0,4,0,0,Siendo_Controlado_Emp1,0.08,Siendo_Controlado_Emp2,0.61,Siendo_Controlado_Emp3,0.64,En_Cola,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LlegadaReloj,2.01,0.95,1.79,3.8,0.74,0.28,4.61,5.76,4.53,6.28,5.25,,,Ocupado,1.91,Ocupado,1.38,Ocupado,1.36,2,1.0899999833106992,5,0,0,Siendo_Controlado_Emp1,0.08,Siendo_Controlado_Emp2,0.61,Siendo_Controlado_Emp3,0.64,En_Cola,0.92,En_Cola,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LlegadaReloj,3.8,0.9,1.38,5.18,0.74,0.28,4.61,5.76,4.53,6.28,5.25,,,Ocupado,3.7,Ocupado,3.17,Ocupado,3.15,3,4.670000002384185,6,0,0,Siendo_Controlado_Emp1,0.08,Siendo_Controlado_Emp2,0.61,Siendo_Controlado_Emp3,0.64,En_Cola,0.92,En_Cola,2.01,En_Cola,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FinControlReloj_1,4.53,,,5.18,0.74,0.28,4.61,5.76,4.53,6.28,5.25,0.99,Fallado,Ocupado,4.43,Ocupado,3.9,Ocupado,3.88,2,6.860000145435333,6,1,4.45,Fallado,0.08,Siendo_Controlado_Emp2,0.61,Siendo_Controlado_Emp3,0.64,Siendo_Controlado_Emp1,0.92,En_Cola,2.01,En_Cola,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LlegadaReloj,5.18,0.92,1.51,6.69,0.74,0.28,4.61,5.76,4.53,6.28,5.25,,,Ocupado,5.06,Ocupado,4.54,Ocupado,4.52,3,8.159999725818633,7,1,4.45,Fallado,0.08,Siendo_Controlado_Emp2,0.61,Siendo_Controlado_Emp3,0.64,Siendo_Controlado_Emp1,0.92,En_Cola,2.01,En_Cola,3.8,En_Cola,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
